player_id,player_name,team,games,fumbles,fumbles_lost,forced_fumbles,own_fumbles_recoveries,opponent_fumbles_recoveries,touchdowns
joe-burrow,Joe Burrow,Cincinnati Bengals,17,11,5,,2,,
jared-goff,Jared Goff,Detroit Lions,17,6,0,0,2,,
baker-mayfield,Baker Mayfield,Tampa Bay Buccaneers,17,13,2,,8,,
geno-smith,Geno Smith,Seattle Seahawks,17,9,0,,6,,
sam-darnold,Sam Darnold,Minnesota Vikings,17,8,4,0,2,,
lamar-jackson,Lamar Jackson,Baltimore Ravens,17,10,5,0,4,,
patrick-mahomes,Patrick Mahomes,Kansas City Chiefs,16,2,0,,1,,
aaron-rodgers,Aaron Rodgers,New York Jets,17,5,2,,3,,
justin-herbert,Justin Herbert,Los Angeles Chargers,17,6,2,0,3,,
brock-purdy,Brock Purdy,San Francisco 49ers,15,7,3,0,,,
kyler-murray,Kyler Murray,Arizona Cardinals,17,8,4,,3,,
bo-nix,Bo Nix,Denver Broncos,17,3,0,,2,,
matthew-stafford,Matthew Stafford,Los Angeles Rams,16,6,2,,3,,
josh-allen,Josh Allen,Buffalo Bills,17,5,2,0,1,,
c-j-stroud,C.J. Stroud,Houston Texans,17,6,4,,1,,
jayden-daniels,Jayden Daniels,Washington Commanders,17,5,0,0,,,
caleb-williams,Caleb Williams,Chicago Bears,17,10,5,,4,,
kirk-cousins,Kirk Cousins,Atlanta Falcons,14,13,2,,2,,
jordan-love,Jordan Love,Green Bay Packers,15,4,0,,2,,
jalen-hurts,Jalen Hurts,Philadelphia Eagles,15,9,5,0,2,,
tua-tagovailoa,Tua Tagovailoa,Miami Dolphins,11,7,2,0,2,,
russell-wilson,Russell Wilson,Pittsburgh Steelers,11,5,4,,2,,
bryce-young,Bryce Young,Carolina Panthers,14,5,2,0,1,,
drake-maye,Drake Maye,New England Patriots,13,9,6,0,4,,
derek-carr,Derek Carr,New Orleans Saints,10,3,0,,3,,
jameis-winston,Jameis Winston,Cleveland Browns,12,5,2,0,3,,
will-levis,Will Levis,Tennessee Titans,12,10,6,,3,,
daniel-jones-x5302,Daniel Jones,New York Giants,10,4,2,0,1,,
daniel-jones-x5302,Daniel Jones,New York Giants,10,4,2,0,1,,
trevor-lawrence,Trevor Lawrence,Jacksonville Jaguars,10,3,1,0,1,,
gardner-minshew,Gardner Minshew,Las Vegas Raiders,10,6,4,,1,,
dak-prescott,Dak Prescott,Dallas Cowboys,8,4,1,0,2,,
cooper-rush,Cooper Rush,Dallas Cowboys,12,9,3,,5,,
anthony-richardson,Anthony Richardson,Indianapolis Colts,11,9,3,0,6,,
joe-flacco,Joe Flacco,Indianapolis Colts,8,4,4,0,,,
mac-jones,Mac Jones,Jacksonville Jaguars,10,2,2,,1,,
aidan-o-connell,Aidan O'Connell,Las Vegas Raiders,9,2,2,0,,,
mason-rudolph,Mason Rudolph,Tennessee Titans,8,5,1,,2,,
spencer-rattler,Spencer Rattler,New Orleans Saints,7,5,3,,1,,
deshaun-watson,Deshaun Watson,Cleveland Browns,7,5,3,,1,,
justin-fields,Justin Fields,Pittsburgh Steelers,10,6,1,,3,,
drew-lock,Drew Lock,New York Giants,8,5,2,,2,,
andy-dalton,Andy Dalton,Carolina Panthers,6,2,0,,2,,
tyler-huntley,Tyler Huntley,Miami Dolphins,5,6,2,,3,,
jacoby-brissett,Jacoby Brissett,New England Patriots,8,4,1,,2,,
michael-penix-jr,Michael Penix Jr.,Atlanta Falcons,5,2,0,0,1,,
malik-willis,Malik Willis,Green Bay Packers,7,1,1,,,,
desmond-ridder,Desmond Ridder,Las Vegas Raiders,6,3,2,,1,,
dorian-thompson-robinson,Dorian Thompson-Robinson,Cleveland Browns,7,3,1,,1,,
marcus-mariota,Marcus Mariota,Washington Commanders,3,0,0,,1,,
joshua-dobbs,Joshua Dobbs,San Francisco 49ers,2,2,1,,,,
jimmy-garoppolo,Jimmy Garoppolo,Los Angeles Rams,1,,,,,,
tanner-mckee,Tanner McKee,Philadelphia Eagles,2,0,0,,1,,
kenny-pickett,Kenny Pickett,Philadelphia Eagles,5,1,0,,,,
tim-boyle,Tim Boyle,New York Giants,1,,,,,,
tim-boyle,Tim Boyle,Miami Dolphins,2,,,,,,
trey-lance,Trey Lance,Dallas Cowboys,4,,,0,,,
tommy-devito,Tommy DeVito,New York Giants,3,,,,,,
joe-milton-iii,Joe Milton III,New England Patriots,1,1,1,,,,
davis-mills,Davis Mills,Houston Texans,5,,,,,,
brandon-allen,Brandon Allen,San Francisco 49ers,3,2,1,0,1,,
skylar-thompson,Skylar Thompson,Miami Dolphins,3,2,0,,,,
mitchell-trubisky,Mitchell Trubisky,Buffalo Bills,9,1,0,,1,,
bailey-zappe,Bailey Zappe,Cleveland Browns,1,,,,,,
tyrod-taylor,Tyrod Taylor,New York Jets,2,1,0,,1,,
carson-wentz,Carson Wentz,Kansas City Chiefs,3,0,0,,1,,
nick-mullens,Nick Mullens,Minnesota Vikings,5,,,,,,
jaxon-smith-njigba,Jaxon Smith-Njigba,Seattle Seahawks,17,1,0,0,1,,
a-j-cole,AJ Cole,Las Vegas Raiders,17,,,,,,
courtland-sutton,Courtland Sutton,Denver Broncos,17,1,1,0,,,
taylor-heinicke,Taylor Heinicke,Los Angeles Chargers,4,,,,,,
mike-white,Mike White,Buffalo Bills,1,,,,,,
sam-howell,Sam Howell,Seattle Seahawks,2,,,0,,,
adonai-mitchell,Adonai Mitchell,Indianapolis Colts,17,2,1,,,,
justin-jefferson,Justin Jefferson,Minnesota Vikings,17,1,0,0,,,
taysom-hill,Taysom Hill,New Orleans Saints,8,1,1,1,,,
ced-wilson,Cedrick Wilson Jr.,New Orleans Saints,15,1,1,0,,,
kyle-allen,Kyle Allen,Pittsburgh Steelers,1,,,,,,
jack-fox-x0892,Jack Fox,Detroit Lions,17,,,,,,
josh-johnson,Josh Johnson,Baltimore Ravens,6,,,,,,
stefon-diggs,Stefon Diggs,Houston Texans,8,,,0,,,
tyson-bagent,Tyson Bagent,Chicago Bears,4,,,,,,
clayton-tune,Clayton Tune,Arizona Cardinals,6,1,1,,,,
amon-ra-st-brown,Amon-Ra St. Brown,Detroit Lions,17,1,1,0,,,
bryan-anger,Bryan Anger,Dallas Cowboys,17,,,0,,,
riley-dixon,Riley Dixon,Denver Broncos,17,,,0,,,
david-montgomery,David Montgomery,Detroit Lions,14,2,1,,2,,
j-k-scott,J.K. Scott,Los Angeles Chargers,17,1,0,,1,,
keenan-allen,Keenan Allen,Chicago Bears,15,1,0,,1,,
