player_name,team,games,fumbles,fumbles_lost,forced_fumbles,own_fumbles_recoveries,opponent_fumbles_recoveries,touchdowns,team_id,player_id_team,player_id
Bryan Anger,Dallas Cowboys,17,,,0,,,,DAL,bryan-anger-DAL,bryan-anger
Riley Dixon,Denver Broncos,17,,,0,,,,DEN,riley-dixon-DEN,riley-dixon
Tutu Atwell,Los Angeles Rams,17,,,0,,,,LAR,tutu-atwell-LAR,tutu-atwell
Johnny Hekker,Carolina Panthers,17,,,0,,,,CAR,johnny-hekker-CAR,johnny-hekker
Tyler Allgeier,Atlanta Falcons,17,,,0,,,,ATL,tyler-allgeier-ATL,tyler-allgeier
Kenneth Gainwell,Philadelphia Eagles,17,,,0,,,,PHI,kenneth-gainwell-PHI,kenneth-gainwell
Tyreek Hill,Miami Dolphins,17,,,0,,,,MIA,tyreek-hill-MIA,tyreek-hill
Ja'Marr Chase,Cincinnati Bengals,17,,,0,,,,CIN,ja-marr-chase-CIN,ja-marr-chase
Elijah Moore,Cleveland Browns,17,,,0,,,,CLE,elijah-moore-CLE,elijah-moore
David Moore,Carolina Panthers,17,,,0,,,,CAR,david-moore-CAR,david-moore
Tavierre Thomas,Tampa Bay Buccaneers,17,,,0,,,,TB,tavierre-thomas-TB,tavierre-thomas
Jerry Jeudy,Cleveland Browns,17,,,0,,,,CLE,jerry-jeudy-CLE,jerry-jeudy
Cole Kmet,Chicago Bears,17,,,0,,,,CHI,cole-kmet-CHI,cole-kmet
Rashod Bateman,Baltimore Ravens,17,,,0,,,,BAL,rashod-bateman-BAL,rashod-bateman
Dontayvion Wicks,Green Bay Packers,17,,,0,,,,GB,dontayvion-wicks-GB,dontayvion-wicks
Foster Moreau,New Orleans Saints,17,,,0,,,,NO,foster-moreau-NO,foster-moreau
Nick Westbrook-Ikhine,Tennessee Titans,17,,,0,,,,TEN,nick-westbrook-ikhine-TEN,nick-westbrook-ikhine
Demarcus Robinson,Los Angeles Rams,17,,,0,,,,LAR,demarcus-robinson-LAR,demarcus-robinson
Daniel Bellinger,New York Giants,17,,,0,,,,NYG,daniel-bellinger-NYG,daniel-bellinger
Kylen Granson,Indianapolis Colts,17,,,0,,,,IND,kylen-granson-IND,kylen-granson
Mo Alie-Cox,Indianapolis Colts,17,,,0,,,,IND,mo-alie-cox-IND,mo-alie-cox
Luke Farrell,Jacksonville Jaguars,17,,,0,,,,JAX,luke-farrell-JAX,luke-farrell
Durham Smythe,Miami Dolphins,17,,,0,,,,MIA,durham-smythe-MIA,durham-smythe
Trent Sherfield,Minnesota Vikings,17,,,0,,,,MIN,trent-sherfield-MIN,trent-sherfield
Tim Jones,Jacksonville Jaguars,17,,,0,,,,JAX,tim-jones-3-JAX,tim-jones-3
Ross Dwelley,Atlanta Falcons,17,,,0,,,,ATL,ross-dwelley-ATL,ross-dwelley
Adam Prentice,New Orleans Saints,17,,,0,,,,NO,adam-prentice-NO,adam-prentice
Arik Armstead,Jacksonville Jaguars,17,,,0,,,,JAX,arik-armstead-JAX,arik-armstead
Darrell Baker Jr.,Tennessee Titans,17,,,0,,,,TEN,darrell-baker-jr-TEN,darrell-baker-jr
Krys Barnes,Arizona Cardinals,17,,,0,,,,ARI,krys-barnes-ARI,krys-barnes
Josh Blackwell,Chicago Bears,17,,,0,,,,CHI,josh-blackwell-CHI,josh-blackwell
Jacob Bobenmoyer,Las Vegas Raiders,17,,,0,,,,LV,jacob-bobenmoyer-LV,jacob-bobenmoyer
Corey Bojorquez,Cleveland Browns,17,,,0,,,,CLE,corey-bojorquez-CLE,corey-bojorquez
Evan Brown,Arizona Cardinals,17,,,0,,,,ARI,evan-brown-ARI,evan-brown
Percy Butler,Washington Commanders,17,,,0,,,,WAS,percy-butler-WAS,percy-butler
Ben Cleveland,Baltimore Ravens,17,,,0,,,,BAL,ben-cleveland-BAL,ben-cleveland
Bryan Cook,Kansas City Chiefs,17,,,0,,,,KC,bryan-cook-KC,bryan-cook
Logan Cooke,Jacksonville Jaguars,17,,,0,,,,JAX,logan-cooke-JAX,logan-cooke
Morgan Cox,Tennessee Titans,17,,,0,,,,TEN,morgan-cox-TEN,morgan-cox
Scott Daly,Chicago Bears,17,,,0,,,,CHI,scott-daly-CHI,scott-daly
Michael Dickson,Seattle Seahawks,17,,,0,,,,SEA,michael-dickson-SEA,michael-dickson
Troy Dye,Los Angeles Chargers,17,,,0,,,,LAC,troy-dye-LAC,troy-dye
Sam Eguavoen,New York Jets,17,,,0,,,,NYJ,sam-eguavoen-NYJ,sam-eguavoen
Joshua Ezeudu,New York Giants,17,,,0,,,,NYG,joshua-ezeudu-NYG,joshua-ezeudu
Mike Ford,Cleveland Browns,17,,,0,,,,CLE,mike-ford-CLE,mike-ford
Poona Ford,Los Angeles Chargers,17,,,0,,,,LAC,poona-ford-LAC,poona-ford
Morgan Fox,Los Angeles Chargers,17,,,0,,,,LAC,morgan-fox-LAC,morgan-fox
John Franklin-Myers,Denver Broncos,17,,,0,,,,DEN,john-franklin-myers-DEN,john-franklin-myers
William Gholston,Tampa Bay Buccaneers,17,,,0,,,,TB,william-gholston-TB,william-gholston
Davon Godchaux,New England Patriots,17,,,0,,,,NE,davon-godchaux-NE,davon-godchaux
Eddie Goldman,Atlanta Falcons,17,,,0,,,,ATL,eddie-goldman-ATL,eddie-goldman
Richie Grant,Atlanta Falcons,17,,,0,,,,ATL,richie-grant-ATL,richie-grant
Kamu Grugier-Hill,Minnesota Vikings,17,,,0,,,,MIN,kamu-grugier-hill-MIN,kamu-grugier-hill
DaVon Hamilton,Jacksonville Jaguars,17,,,0,,,,JAX,davon-hamilton-JAX,davon-hamilton
Johnathan Hankins,Seattle Seahawks,17,,,0,,,,SEA,johnathan-hankins-SEA,johnathan-hankins
Cameron Heyward,Pittsburgh Steelers,17,,,0,,,,PIT,cameron-heyward-PIT,cameron-heyward
Malik Hooker,Dallas Cowboys,17,,,0,,,,DAL,malik-hooker-DAL,malik-hooker
Noah Igbinoghene,Washington Commanders,17,,,0,,,,WAS,noah-igbinoghene-WAS,noah-igbinoghene
Mike Jackson,Carolina Panthers,17,,,0,,,,CAR,mike-jackson-CAR,mike-jackson
