player_name,player_position,team,player_image_url,team_id,player_id_team,player_id
Jaxon Smith-Njigba,WR,Seattle Seahawks,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/lfroslgx4bo5p641flvg,SEA,jaxon-smith-njigba-SEA,jaxon-smith-njigba
Courtland Sutton,WR,Denver Broncos,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/qts95gbd6hv65s9eiseq,DEN,courtland-sutton-DEN,courtland-sutton
Adonai Mitchell,WR,Indianapolis Colts,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/fztxucnxhoxep6utluyc,IND,adonai-mitchell-IND,adonai-mitchell
Justin Jefferson,WR,Minnesota Vikings,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/vrftbpzwk6qmv0zjcysg,MIN,justin-jefferson-MIN,justin-jefferson
Cedrick Wilson Jr.,WR,New Orleans Saints,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/vuolr6nwwbrwwc5ldt7f,NO,ced-wilson-NO,ced-wilson
Jalen Coker,WR,Carolina Panthers,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/wk9xewrixauh09f71pqh,CAR,jalen-coker-CAR,jalen-coker
Stefon Diggs,WR,Houston Texans,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/to2qwuffjnjlouctglsl,HOU,stefon-diggs-HOU,stefon-diggs
Amon-Ra St. Brown,WR,Detroit Lions,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/jmfuamqblg8jag0stpnq,DET,amon-ra-st-brown-DET,amon-ra-st-brown
Keenan Allen,WR,Chicago Bears,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/lngo1onvkcqjnq7ozkuu,CHI,keenan-allen-CHI,keenan-allen
Tutu Atwell,WR,Los Angeles Rams,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/hpvbp9pn7ifbh62nde0n,LAR,tutu-atwell-LAR,tutu-atwell
