player_name,team,games,punts,yards,long_gain,blocked,returns,return_yards,in_20_yards_line,team_id,player_id_team
AJ Cole,Las Vegas Raiders,17,65,3304,71,2,26,294,27,LV,a-j-cole-LV
Jack Fox,Detroit Lions,17,45,2295,68,0,21,135,22,DET,jack-fox-x0892-DET
Bryan Anger,Dallas Cowboys,17,62,3005,62,0,33,341,24,DAL,bryan-anger-DAL
Riley Dixon,Denver Broncos,17,77,3597,65,0,29,251,33,DEN,riley-dixon-DEN
J.K. Scott,Los Angeles Chargers,17,72,3362,67,0,28,268,28,LAC,j-k-scott-LAC
Johnny Hekker,Carolina Panthers,17,73,3338,65,1,26,178,24,CAR,johnny-hekker-CAR
Bradley Pinion,Atlanta Falcons,17,47,2209,65,0,22,305,14,ATL,bradley-pinion-ATL
Matthew Hayball,New Orleans Saints,17,75,3303,64,0,28,213,41,NO,matthew-hayball-NO
Jake Bailey,Miami Dolphins,17,56,2639,64,1,22,230,22,MIA,jake-bailey-MIA
Matt Araiza,Kansas City Chiefs,17,62,3027,72,0,25,253,25,KC,matt-araiza-KC
Corey Bojorquez,Cleveland Browns,17,89,4387,84,0,40,530,36,CLE,corey-bojorquez-CLE
Logan Cooke,Jacksonville Jaguars,17,68,3359,73,0,28,251,34,JAX,logan-cooke-JAX
Michael Dickson,Seattle Seahawks,17,76,3756,68,0,31,284,31,SEA,michael-dickson-SEA
Ka'imi Fairbairn,Houston Texans,17,,,,,,,,HOU,ka-imi-fairbairn-HOU
Nick Folk,Tennessee Titans,14,,,,,,,,TEN,nick-folk-TEN
Graham Gano,New York Giants,10,,,,,,,,NYG,graham-gano-NYG
Blake Gillikin,Arizona Cardinals,13,38,1887,63,0,16,183,19,ARI,blake-gillikin-ARI
Trenton Gill,Tampa Bay Buccaneers,8,27,1169,57,0,10,98,9,TB,trenton-gill-TB
Younghoe Koo,Atlanta Falcons,14,,,,,,,,ATL,younghoe-koo-ATL
Brandon McManus,Green Bay Packers,11,,,,,,,,GB,brandon-mcmanus-GB
Mitch Wishnowsky,San Francisco 49ers,9,22,994,58,1,9,160,11,SF,mitch-wishnowsky-SF
Chris Boswell,Pittsburgh Steelers,17,1,43,43,0,1,0,0,PIT,chris-boswell-PIT
Jake Elliott,Philadelphia Eagles,17,,,,,,,,PHI,jake-elliott-PHI
Chad Ryland,Arizona Cardinals,13,3,117,44,0,0,0,0,ARI,chad-ryland-ARI
Austin Seibert,Washington Commanders,9,,,,,,,,WAS,austin-seibert-WAS
Harrison Butker,Kansas City Chiefs,13,,,,,,,,KC,harrison-butker-KC
Greg Joseph,New York Jets,1,,,,,,,,NYJ,greg-joseph-NYJ
Matt Prater,Arizona Cardinals,4,,,,,,,,ARI,matt-prater-ARI
Zane Gonzalez,Washington Commanders,6,,,,,,,,WAS,zane-gonzalez-WAS
Jamie Gillan,New York Giants,13,56,2448,67,0,17,135,27,NYG,jamie-gillan-NYG
Braden Mann,Philadelphia Eagles,17,54,2633,70,1,24,179,20,PHI,braden-mann-PHI
Ethan Evans,Los Angeles Rams,16,55,2530,68,0,22,198,30,LAR,ethan-evans-LAR
Jack Browning,Tampa Bay Buccaneers,5,10,425,54,0,5,59,0,TB,jack-browning-TB
Jake Camarda,Tampa Bay Buccaneers,4,13,589,67,0,6,115,5,TB,jake-camarda-TB
Jordan Stout,Baltimore Ravens,17,55,2551,70,0,21,163,22,BAL,jordan-stout-BAL
Thomas Morstead,New York Jets,17,63,2972,75,0,29,256,19,NYJ,thomas-morstead-NYJ
Rigoberto Sanchez,Indianapolis Colts,17,68,3382,65,0,32,405,27,IND,rigoberto-sanchez-IND
Tory Taylor,Chicago Bears,17,82,3911,68,0,41,422,34,CHI,tory-taylor-CHI
Daniel Whelan,Green Bay Packers,17,56,2582,74,0,20,229,22,GB,daniel-whelan-GB
Ryan Wright,Minnesota Vikings,17,56,2604,66,1,28,191,27,MIN,ryan-wright-MIN
Cameron Johnston,Pittsburgh Steelers,1,2,103,58,0,1,28,1,PIT,cameron-johnston-PIT
Ryan Stonehouse,Tennessee Titans,17,73,3691,75,2,47,655,22,TEN,ryan-stonehouse-TEN
Bryce Baringer,New England Patriots,17,70,3486,75,0,32,406,31,NE,bryce-baringer-NE
Ryan Rehkow,Cincinnati Bengals,17,53,2603,80,0,26,228,25,CIN,ryan-rehkow-CIN
Tommy Townsend,Houston Texans,17,76,3649,69,1,25,121,39,HOU,tommy-townsend-HOU
Matt Haack,New York Giants,4,21,988,66,0,9,139,9,NYG,matt-haack-NYG
Tress Way,Washington Commanders,17,50,2343,74,0,24,148,22,WAS,tress-way-WAS
Sam Martin,Buffalo Bills,17,54,2523,65,1,23,213,25,BUF,sam-martin-BUF
Corliss Waitman,Pittsburgh Steelers,16,65,3015,71,0,29,191,27,PIT,corliss-waitman-PIT
Pat O'Donnell,San Francisco 49ers,8,24,1082,56,0,10,101,8,SF,pat-o-donnell-SF
Michael Palardy,Arizona Cardinals,4,13,559,54,0,5,31,1,ARI,michael-palardy-ARI
